attributeName,code,definition
reach,Ave35,metadata_not_provided
reach,Ave67,metadata_not_provided
reach,BM,metadata_not_provided
reach,Price,metadata_not_provided
reach,Priest,metadata_not_provided
reach,Rio,metadata_not_provided
reach,Tonto,metadata_not_provided
wind,gusts,metadata_not_provided
wind,light,metadata_not_provided
wind,none,metadata_not_provided
precipitation,light_rain,metadata_not_provided
precipitation,none,metadata_not_provided
disturbances,0,metadata_not_provided
disturbances,1,metadata_not_provided
noise_level,high,metadata_not_provided
noise_level,low,metadata_not_provided
noise_level,none,metadata_not_provided
distance,0-5,metadata_not_provided
distance,10-20,metadata_not_provided
distance,20-40,metadata_not_provided
distance,>40,metadata_not_provided
distance,5-10,metadata_not_provided
distance,FT,metadata_not_provided
seen,0,metadata_not_provided
seen,1,metadata_not_provided
heard,0,metadata_not_provided
heard,1,metadata_not_provided
direction,E,metadata_not_provided
direction,N,metadata_not_provided
direction,NE,metadata_not_provided
direction,NW,metadata_not_provided
direction,S,metadata_not_provided
direction,SE,metadata_not_provided
direction,SW,metadata_not_provided
direction,W,metadata_not_provided
