taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Black Phoebe,,,,Black Phoebe,Common,ITIS,178330,Black Phoebe,
Great-tailed Grackle,,,,Great-tailed Grackle,Common,ITIS,179109,Great-tailed Grackle,
House Finch,,,,House Finch,Common,ITIS,997805,House Finch,
Unidentified Falcon,,,,,,,,,
Rock Pigeon,,,,Rock Pigeon,Common,ITIS,177071,Rock Pigeon,
Mourning Dove,,,,Mourning Dove,Common,ITIS,177125,Mourning Dove,
Yellow-rumped Warbler,,,,Yellow-rumped Warbler,Common,ITIS,950046,Yellow-rumped Warbler,
Abert's Towhee,,,,Abert's Towhee,Common,ITIS,997739,Abert's Towhee,
Killdeer,,,,Killdeer,Common,ITIS,176520,Killdeer,
American Kestrel,,,,American Kestrel,Common,ITIS,175622,American Kestrel,
Say's Phoebe,,,,Say's Phoebe,Common,ITIS,178333,Say's Phoebe,
House Sparrow,,,,House Sparrow,Common,ITIS,179628,House Sparrow,
Northern Harrier,,,,Northern Harrier,Common,ITIS,175430,Northern Harrier,
Eurasian Collared-Dove,,,,Eurasian Collared-Dove,Common,ITIS,177139,Eurasian Collared-Dove,
Marsh Wren,,,,Marsh Wren,Common,ITIS,178608,Marsh Wren,
Hermit Thrush,,,,Hermit Thrush,Common,ITIS,179779,Hermit Thrush,
Song Sparrow,,,,Song Sparrow,Common,ITIS,179492,Song Sparrow,
Verdin,,,,Verdin,Common,ITIS,178759,Verdin,
European Starling,,,,European Starling,Common,ITIS,179637,European Starling,
Orange-crowned Warbler,,,,Orange-crowned Warbler,Common,ITIS,950015,Orange-crowned Warbler,
Anna's Hummingbird,,,,Anna's Hummingbird,Common,ITIS,178036,Anna's Hummingbird,
Red-winged Blackbird,,,,Red-winged Blackbird,Common,ITIS,179045,Red-winged Blackbird,
Red-tailed Hawk,,,,Red-tailed Hawk,Common,ITIS,175350,Red-tailed Hawk,
Unidentified Woodpecker,,,,,,,,,
Great Egret,,,,Great Egret,Common,ITIS,554135,Great Egret,
Common Gallinule,,,,,,,,,
Gila Woodpecker,,,,Gila Woodpecker,Common,ITIS,178198,Gila Woodpecker,
Osprey,,,,,,,,,
Unidentified Bird,,,,,,,,,
Unidentified Meadowlark,,,,,,,,,
American Coot,,,,American Coot,Common,ITIS,176292,American Coot,
Common Raven,,,,Common Raven,Common,ITIS,179725,Common Raven,
Unidentified Flycatcher,,,,,,,,,
Northern Rough-winged Swallow,,,,Northern Rough-winged Swallow,Common,ITIS,178443,Northern Rough-winged Swallow,
Ruby-crowned Kinglet,,,,Ruby-crowned Kinglet,Common,ITIS,179870,Ruby-crowned Kinglet,
Lesser Goldfinch,,,,Lesser Goldfinch,Common,ITIS,179254,Lesser Goldfinch,
Double-crested Cormorant,,,,Double-crested Cormorant,Common,ITIS,174717,Double-crested Cormorant,
Unidentified Buteo,,,,,,,,,
Canada Goose,,,,Canada Goose,Common,ITIS,174999,Canada Goose,
Unidentified Hummingbird,,,,,,,,,
Unidentified Warbler,,,,,,,,,
Neotropic Cormorant,,,,Neotropic Cormorant,Common,ITIS,554375,Neotropic Cormorant,
Northern Flicker,,,,Northern Flicker,Common,ITIS,178154,Northern Flicker,
Bald Eagle,,,,Bald Eagle,Common,ITIS,175420,Bald Eagle,
Belted Kingfisher,,,,Belted Kingfisher,Common,ITIS,178106,Belted Kingfisher,
Mallard,,,,Mallard,Common,ITIS,175063,Mallard,
Peregrine Falcon,,,,Peregrine Falcon,Common,ITIS,175604,Peregrine Falcon,
White-crowned Sparrow,,,,White-crowned Sparrow,Common,ITIS,179455,White-crowned Sparrow,
Black-throated Gray Warbler,,,,Black-throated Gray Warbler,Common,ITIS,950057,Black-throated Gray Warbler,
Black-chinned Hummingbird,,,,Black-chinned Hummingbird,Common,ITIS,178033,Black-chinned Hummingbird,
Unidentified Raptor,,,,,,,,,
Brown-headed Cowbird,,,,Brown-headed Cowbird,Common,ITIS,179112,Brown-headed Cowbird,
Unidentified Blackbird,,,,,,,,,
Brewer's Blackbird,,,,Brewer's Blackbird,Common,ITIS,179094,Brewer's Blackbird,
Turkey Vulture,,,,Turkey Vulture,Common,ITIS,175265,Turkey Vulture,
Sharp-shinned Hawk,,,,Sharp-shinned Hawk,Common,ITIS,175304,Sharp-shinned Hawk,
Curve-billed Thrasher,,,,Curve-billed Thrasher,Common,ITIS,178637,Curve-billed Thrasher,
Loggerhead Shrike,,,,Loggerhead Shrike,Common,ITIS,178515,Loggerhead Shrike,
Unidentified Empidonax Flycatcher,,,,,,,,,
Gambel's Quail,,,,Gambel's Quail,Common,ITIS,175877,Gambel's Quail,
Phainopepla,,,,,,,,,
Black-tailed Gnatcatcher,,,,Black-tailed Gnatcatcher,Common,ITIS,179857,Black-tailed Gnatcatcher,
Cactus Wren,,,,Cactus Wren,Common,ITIS,178587,Cactus Wren,
Unidentified Duck,,,,,,,,,
Great Blue Heron,,,,Great Blue Heron,Common,ITIS,174773,Great Blue Heron,
Northern Cardinal,,,,Northern Cardinal,Common,ITIS,179124,Northern Cardinal,
Rock Wren,,,,Rock Wren,Common,ITIS,178614,Rock Wren,
Ladder-backed Woodpecker,,,,Ladder-backed Woodpecker,Common,ITIS,1145275,Ladder-backed Woodpecker,
American White Pelican,,,,American White Pelican,Common,ITIS,174684,American White Pelican,
Crissal Thrasher,,,,Crissal Thrasher,Common,ITIS,178652,Crissal Thrasher,
Northern Parula,,,,Northern Parula,Common,ITIS,950033,Northern Parula,
Unidentified Cormorant,,,,,,,,,
White-faced Ibis,,,,White-faced Ibis,Common,ITIS,174926,White-faced Ibis,
Northern Shoveler,,,,Northern Shoveler,Common,ITIS,175096,Northern Shoveler,
Green-winged Teal,,,,Green-winged Teal,Common,ITIS,175081,Green-winged Teal,
Common Yellowthroat,,,,Common Yellowthroat,Common,ITIS,178944,Common Yellowthroat,
Green Heron,,,,Green Heron,Common,ITIS,174793,Green Heron,
Black-crowned Night-Heron,,,,Black-crowned Night-Heron,Common,ITIS,174832,Black-crowned Night-Heron,
Cliff Swallow,,,,,,,,,
Wilson's Warbler,,,,Wilson's Warbler,Common,ITIS,950080,Wilson's Warbler,
White-winged Dove,,,,White-winged Dove,Common,ITIS,177121,White-winged Dove,
Unidentified Dove,,,,,,,,,
Ash-throated Flycatcher,,,,Ash-throated Flycatcher,Common,ITIS,178316,Ash-throated Flycatcher,
Unidentified Kingbird,,,,,,,,,
Bell's Vireo,,,,Bell's Vireo,Common,ITIS,179003,Bell's Vireo,
Snowy Egret,,,,Snowy Egret,Common,ITIS,174813,Snowy Egret,
Black-necked Stilt,,,,Black-necked Stilt,Common,ITIS,176726,Black-necked Stilt,
Cooper's Hawk,,,,Cooper's Hawk,Common,ITIS,175309,Cooper's Hawk,
Green-tailed Towhee,,,,Green-tailed Towhee,Common,ITIS,179310,Green-tailed Towhee,
Brewer's Sparrow,,,,Brewer's Sparrow,Common,ITIS,179440,Brewer's Sparrow,
Western Kingbird,,,,Western Kingbird,Common,ITIS,178287,Western Kingbird,
Unidentified Sparrow,,,,,,,,,
Northern Mockingbird,,,,Northern Mockingbird,Common,ITIS,178620,Northern Mockingbird,
Pied-billed Grebe,,,,Pied-billed Grebe,Common,ITIS,174505,Pied-billed Grebe,
Bullock's Oriole,,,,Bullock's Oriole,Common,ITIS,554267,Bullock's Oriole,
Brown-crested Flycatcher,,,,Brown-crested Flycatcher,Common,ITIS,178312,Brown-crested Flycatcher,
Lucy's Warbler,,,,Lucy's Warbler,Common,ITIS,950017,Lucy's Warbler,
Unidentified Flicker,,,,,,,,,
Yellow Warbler,,,,Yellow Warbler,Common,ITIS,950039,Yellow Warbler,
Greater Roadrunner,,,,Greater Roadrunner,Common,ITIS,177836,Greater Roadrunner,
Unidentified Gnatcatcher,,,,,,,,,
Unidentified Swallow,,,,,,,,,
Lark Sparrow,,,,Lark Sparrow,Common,ITIS,179371,Lark Sparrow,
Black Vulture,,,,Black Vulture,Common,ITIS,175272,Black Vulture,
Burrowing Owl,,,,Burrowing Owl,Common,ITIS,177946,Burrowing Owl,
Lesser Nighthawk,,,,Lesser Nighthawk,Common,ITIS,177988,Lesser Nighthawk,
Great Horned Owl,,,,Great Horned Owl,Common,ITIS,177884,Great Horned Owl,
Unidentified Chordeiles Nighthawk,,,,,,,,,
Blue Grosbeak,,,,Blue Grosbeak,Common,ITIS,726198,Blue Grosbeak,
Tropical Kingbird,,,,Tropical Kingbird,Common,ITIS,178282,Tropical Kingbird,
Warbling Vireo,,,,Warbling Vireo,Common,ITIS,179023,Warbling Vireo,
Bewick's Wren,,,,Bewick's Wren,Common,ITIS,178562,Bewick's Wren,
Unidentified Oriole,,,,,,,,,
